sublation.nl 181.214.170.118 - - [29/Aug/2017:09:34:05 +0200] "GET / HTTP/1.1" 401 381 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
sublation.nl 83.83.2.89 - - [29/Aug/2017:14:41:21 +0200] "GET / HTTP/1.1" 401 381 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:25 +0200] "GET / HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:25 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:38 +0200] "GET / HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:38 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:40 +0200] "GET / HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:14:41:40 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
www.sublation.nl 188.165.197.58 - - [29/Aug/2017:16:19:24 +0200] "GET / HTTP/1.1" 401 381 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:19:42 +0200] "GET /web/app_dev.php/office HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:19:42 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/web/app_dev.php/office" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
